Trial,Video,Response,Rating
Part1,0204_Pen_cond4.mp4,,
Part1,0804_Spining_cond4.mp4,rgrgrsg,
Part1,practice.mp4,fdgfgdfg,
Part1,0304_Knife_cond4.mp4,,
Part1,0504_Racket_cond4.mp4,,
Part1,0902_Tweezers_cond2.mp4,,
Part1,1804_Headphones_cond4.mp4,,
Part1,0302_Knife_cond2.mp4,,
Part1,0604_Hammer_cond4.mp4,,
Part1,1604_Sunglasses_cond4.mp4,,
Part1,1602_Sunglasses_cond2.mp4,,
Part1,0104_Mug_cond4.mp4,,
Part1,0702_Hat_cond2.mp4,,
Part1,1304_Hairspray_cond4.mp4,,
Part1,1004_Dumbbell_cond4.mp4,aef,
Part1,0102_Mug_cond2.mp4,,
Part1,0904_Tweezers_cond4.mp4,,
Part1,0202_Pen_cond2.mp4,,
Part1,0402_Spoon_cond2.mp4,,
Part1,1104_Mixer_cond4.mp4,,
Part1,1102_Mixer_cond2.mp4,,
Part1,1204_Hairbrush_cond4.mp4,,
Part1,0704_Hat_cond4.mp4,,
Part1,1704_Lighter_cond4.mp4,,
Part1,0602_Hammer_cond2.mp4,,
Part1,1404_Perfume_cond4.mp4,,
Part1,0502_Racket_cond2.mp4,,
Part1,0404_Spoon_cond4.mp4,,
Part1,1002_Dumbbell_cond2.mp4,,
Part1,1702_Lighter_cond2.mp4,,
Part1,1402_Perfume_cond2.mp4,,
Part1,0802_Spining_cond2.mp4,,
Part1,1302_Hairspray_cond2.mp4,,
Part1,1802_Headphones_cond2.mp4,,
Part1,1202_Hairbrush_cond2.mp4,,
Part2,videos/1702_Lighter_cond2.mp4,,3
Part2,videos/1002_Dumbbell_cond2.mp4,,3
Part2,videos/0902_Tweezers_cond2.mp4,,6
Part2,videos/0202_Pen_cond2.mp4,,0
Part2,videos/0302_Knife_cond2.mp4,,
Part2,videos/0602_Hammer_cond2.mp4,,
Part2,videos/1802_Headphones_cond2.mp4,,
Part2,videos/0802_Spining_cond2.mp4,,
Part2,videos/0502_Racket_cond2.mp4,,
Part2,videos/1302_Hairspray_cond2.mp4,,
Part2,videos/0102_Mug_cond2.mp4,,
Part2,videos/1202_Hairbrush_cond2.mp4,,
Part2,videos/1402_Perfume_cond2.mp4,,
Part2,videos/0702_Hat_cond2.mp4,,
Part2,videos/1602_Sunglasses_cond2.mp4,,
Part2,videos/1502_Toothbrush_cond2.mp4,,
Part2,videos/1102_Mixer_cond2.mp4,,
Part2,videos/0402_Spoon_cond2.mp4,,
